Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),196719.19999998808,O,z,1753,1,1,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10573.300000011921,186145.89999997616,7012,yes,SM,C,66.bmp,-120,-120,182125,176102,184142,178110,,,,,1
3,0,0,1,0,1,prac,1,0,m,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),207565.29999995232,O,None,2015,2,1,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10830.099999964237,196735.19999998808,7012,no,SM,C,73.bmp,-120,120,192722,186691,194739,188707,,,,,2
4,0,0,0,1,2,prac,1,1,m,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),217878.79999995232,O,m,1487,3,1,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10300.099999964237,207578.69999998808,7012,no,SM,C,74.bmp,120,120,203552,197534,205568,199536,,,,,3
2,0,1,0,0,3,prac,1,1,z,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),227925.39999997616,O,z,1221,4,1,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10033.899999976158,217891.5,7012,yes,SM,C,79.bmp,120,-120,213865,207847,215882,209850,,,,,4
3,0,0,1,0,4,prac,1,1,z,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),237905.19999998808,O,z,1150,5,1,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,9967.199999988079,227938.0,7012,yes,SM,C,84.bmp,-120,120,223912,217894,225928,219897,,,,,5
1,1,0,0,0,5,prac,1,1,m,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),248185.19999998808,O,m,1458,6,1,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10267.800000011921,237917.39999997616,7012,no,SM,C,89.bmp,-120,-120,233892,227873,235908,229877,,,,,6
2,0,1,0,0,6,prac,1,1,m,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),258448.59999996424,O,m,1443,7,1,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10249.5,248199.09999996424,7012,no,SM,C,90.bmp,120,-120,244172,238155,246188,240157,,,,,7
4,0,0,0,1,6,prac,1,0,z,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),269278.09999996424,O,None,2016,8,1,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10816.599999964237,258461.5,7012,yes,SM,C,97.bmp,120,120,254435,248417,256451,250420,,,,,8
4,0,0,0,1,1,test,1,1,m,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),301301.0,O,m,1472,1,1,98.bmp,-120,-120,99.bmp,120,-120,100.bmp,-120,120,93.bmp,120,120,9519.700000047684,291781.2999999523,7012,yes,SM,C,100.bmp,120,120,254435,248417,256451,250420,287757.0,281737.0,289774.0,283742.0,1
2,0,1,0,0,1,test,1,0,m,Thu Aug 29 2024 17:15:38 GMT-0500 (Central Daylight Time),311364.39999997616,O,None,2015,2,1,51.bmp,-120,-120,52.bmp,120,-120,53.bmp,-120,120,54.bmp,120,120,10049.800000011921,301314.59999996424,7012,yes,SM,C,53.bmp,120,-120,254435,248417,256451,250420,297287.0,291270.0,299304.0,293273.0,2
