Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),181354.5,O,z,998,1,1,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,9808.799999952316,171545.70000004768,7016,yes,SM,B,16.bmp,-120,-120,170328,164302,172344,166313,,,,,1
3,0,0,1,0,1,prac,1,0,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),192185.5,O,None,2015,2,1,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10827.099999964237,181358.40000003576,7016,no,SM,B,23.bmp,-120,120,180142,174115,182158,176127,,,,,2
4,0,0,0,1,2,prac,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),202564.20000004768,O,m,1562,3,1,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,10374.900000035763,192189.30000001192,7016,no,SM,B,24.bmp,120,120,190972,184946,192988,186957,,,,,3
2,0,1,0,0,2,prac,1,0,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),213394.20000004768,O,None,2017,4,1,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,10825.600000023842,202568.60000002384,7016,yes,SM,B,29.bmp,120,-120,201352,195325,203368,197337,,,,,4
3,0,0,1,0,3,prac,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),223557.5,O,z,1336,5,1,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,10159.699999988079,213397.80000001192,7016,yes,SM,B,34.bmp,-120,120,212182,206154,214198,208166,,,,,5
1,1,0,0,0,4,prac,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),234021.20000004768,O,m,1637,6,1,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,10459.900000035763,223561.30000001192,7016,no,SM,B,39.bmp,-120,-120,222345,216317,224361,218330,,,,,6
2,0,1,0,0,5,prac,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),244251.30000001192,O,m,1412,7,1,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,10226.899999976158,234024.40000003576,7016,no,SM,B,40.bmp,120,-120,232809,226781,234826,228794,,,,,7
4,0,0,0,1,5,prac,1,0,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),255081.10000002384,O,None,2016,8,1,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,10826.600000023842,244254.5,7016,yes,SM,B,47.bmp,120,120,243039,237011,245055,239024,,,,,8
4,0,0,0,1,0,test,1,0,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),300616.90000003576,O,z,1159,1,1,48.bmp,-120,-120,49.bmp,120,-120,50.bmp,-120,120,43.bmp,120,120,9211.199999988079,291405.7000000477,7016,yes,SM,B,50.bmp,120,120,243039,237011,245055,239024,290191.0,284162.0,292207.0,286175.0,1
2,0,1,0,0,1,test,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),310147.3000000119,O,m,1473,2,1,1.bmp,-120,-120,2.bmp,120,-120,3.bmp,-120,120,4.bmp,120,120,9527.099999964237,300620.2000000477,7016,yes,SM,B,3.bmp,120,-120,243039,237011,245055,239024,299404.0,293376.0,301421.0,295389.0,2
1,1,0,0,0,2,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),319427.5,O,z,1231,3,1,5.bmp,-120,-120,6.bmp,120,-120,7.bmp,-120,120,8.bmp,120,120,9277.199999988079,310150.3000000119,7016,yes,SM,B,5.bmp,-120,-120,243039,237011,245055,239024,308935.0,302907.0,310951.0,304920.0,3
3,0,0,1,0,2,test,1,0,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),328924.7000000477,O,z,1446,4,1,9.bmp,-120,-120,10.bmp,120,-120,11.bmp,-120,120,12.bmp,120,120,9494.0,319430.7000000477,7016,yes,SM,B,9.bmp,-120,120,243039,237011,245055,239024,318215.0,312187.0,320231.0,314200.0,4
2,0,1,0,0,3,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),338354.7000000477,O,z,1382,5,1,13.bmp,-120,-120,14.bmp,120,-120,15.bmp,-120,120,16.bmp,120,120,9426.900000035763,328927.8000000119,7016,yes,SM,B,14.bmp,120,-120,243039,237011,245055,239024,327712.0,321684.0,329728.0,323697.0,5
3,0,0,1,0,4,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),347735.5,O,z,1328,6,1,17.bmp,-120,-120,18.bmp,120,-120,19.bmp,-120,120,20.bmp,120,120,9377.599999964237,338357.90000003576,7016,yes,SM,B,19.bmp,-120,120,243039,237011,245055,239024,337142.0,331114.0,339159.0,333127.0,6
4,0,0,0,1,5,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),357349.10000002384,O,z,1555,7,1,21.bmp,-120,-120,22.bmp,120,-120,23.bmp,-120,120,24.bmp,120,120,9610.5,347738.60000002384,7016,yes,SM,B,24.bmp,120,120,243039,237011,245055,239024,346523.0,340495.0,348539.0,342508.0,7
2,0,1,0,0,6,test,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),366762.7000000477,O,m,1357,8,1,25.bmp,-120,-120,26.bmp,120,-120,27.bmp,-120,120,28.bmp,120,120,9409.900000035763,357352.8000000119,7016,yes,SM,B,25.bmp,120,-120,243039,237011,245055,239024,356137.0,350109.0,358153.0,352121.0,8
3,0,0,1,0,7,test,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),376259.60000002384,O,m,1440,9,1,29.bmp,-120,-120,30.bmp,120,-120,31.bmp,-120,120,32.bmp,120,120,9493.699999988079,366765.90000003576,7016,yes,SM,B,30.bmp,-120,120,243039,237011,245055,239024,365550.0,359522.0,367566.0,361535.0,9
4,0,0,0,1,8,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),385623.2000000477,O,z,1310,10,1,37.bmp,-120,-120,38.bmp,120,-120,39.bmp,-120,120,40.bmp,120,120,9360.300000011921,376262.90000003576,7016,yes,SM,B,40.bmp,120,120,243039,237011,245055,239024,375047.0,369019.0,377064.0,371032.0,10
3,0,0,1,0,9,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),395220.40000003576,O,z,1539,11,1,33.bmp,-120,-120,34.bmp,120,-120,35.bmp,-120,120,36.bmp,120,120,9593.5,385626.90000003576,7016,yes,SM,B,35.bmp,-120,120,243039,237011,245055,239024,384411.0,378383.0,386427.0,380396.0,11
2,0,1,0,0,10,test,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),404750.8000000119,O,m,1470,12,1,41.bmp,-120,-120,42.bmp,120,-120,43.bmp,-120,120,44.bmp,120,120,9526.099999964237,395224.7000000477,7016,yes,SM,B,41.bmp,120,-120,243039,237011,245055,239024,394008.0,387981.0,396024.0,389993.0,12
3,0,0,1,0,11,test,1,1,m,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),414264.5,O,m,1459,13,1,45.bmp,-120,-120,46.bmp,120,-120,47.bmp,-120,120,48.bmp,120,120,9510.5,404754.0,7016,yes,SM,B,46.bmp,-120,120,243039,237011,245055,239024,403538.0,397510.0,405555.0,399523.0,13
1,1,0,0,0,12,test,1,1,z,Tue Sep 03 2024 10:16:48 GMT-0500 (Central Daylight Time),424277.7000000477,O,z,1962,14,1,49.bmp,-120,-120,50.bmp,120,-120,4.bmp,-120,120,1.bmp,120,120,10009.800000011921,414267.90000003576,7016,yes,SM,B,49.bmp,-120,-120,243039,237011,245055,239024,413052.0,407024.0,415068.0,409037.0,14
